"Index","KrakenXrpUsd.Open","KrakenXrpUsd.High","KrakenXrpUsd.Low","KrakenXrpUsd.Close","KrakenXrpUsd.Volume","KrakenXrpUsd.Adjusted"
2017-09-15T04:00:00.000Z,0.17676,0.17917,0.16800,0.17000,2118969.70049373,0.17000
2017-09-15T08:00:00.000Z,0.16998,0.17457,0.15000,0.15370,5263421.14074116,0.15370
2017-09-15T12:00:00.000Z,0.15370,0.19500,0.15149,0.19500,5174248.90098283,0.19500
2017-09-15T16:00:00.000Z,0.19380,0.19500,0.18000,0.18996,4841968.34310228,0.18996
2017-09-15T20:00:00.000Z,0.18836,0.19490,0.18259,0.18700,2277433.68473123,0.18700
2017-09-16T00:00:00.000Z,0.18698,0.19181,0.18500,0.18686,2362150.64708264,0.18686
2017-09-16T04:00:00.000Z,0.18681,0.19599,0.18538,0.19130,3141131.46025149,0.19130
2017-09-16T08:00:00.000Z,0.19166,0.19350,0.18100,0.18638,2576443.31984051,0.18638
2017-09-16T12:00:00.000Z,0.18545,0.18697,0.17820,0.17905,1557627.37100886,0.17905
2017-09-16T16:00:00.000Z,0.17902,0.18653,0.17765,0.18500,1887687.99020297,0.18500
2017-09-16T20:00:00.000Z,0.18499,0.18602,0.18289,0.18437,445909.26723647,0.18437
2017-09-17T00:00:00.000Z,0.18359,0.18410,0.17900,0.17935,454178.28175338,0.17935
2017-09-17T04:00:00.000Z,0.17974,0.18800,0.17501,0.17501,1571657.62488677,0.17501
2017-09-17T08:00:00.000Z,0.17501,0.17951,0.17332,0.17846,909648.56507451,0.17846
2017-09-17T12:00:00.000Z,0.17846,0.18394,0.17637,0.18322,835943.69216252,0.18322
2017-09-17T16:00:00.000Z,0.18366,0.18700,0.18277,0.18300,1545921.28455845,0.18300
2017-09-17T20:00:00.000Z,0.18299,0.18504,0.18200,0.18285,984165.52539259,0.18285
2017-09-18T00:00:00.000Z,0.18300,0.18800,0.18247,0.18788,1320585.44646048,0.18788
2017-09-18T04:00:00.000Z,0.18622,0.19400,0.18552,0.19312,1973829.95431361,0.19312
2017-09-18T08:00:00.000Z,0.19312,0.19397,0.18800,0.19060,1430809.13050337,0.19060
2017-09-18T12:00:00.000Z,0.19050,0.19676,0.18901,0.19082,2684681.24179201,0.19082
2017-09-18T16:00:00.000Z,0.19182,0.19199,0.18800,0.19111,758571.58535693,0.19111
2017-09-18T20:00:00.000Z,0.19111,0.19494,0.18900,0.19494,931485.16869845,0.19494
2017-09-19T00:00:00.000Z,0.19458,0.19497,0.18685,0.18872,1280009.35566136,0.18872
2017-09-19T04:00:00.000Z,0.18875,0.18965,0.18450,0.18613,1018112.00084166,0.18613
2017-09-19T08:00:00.000Z,0.18574,0.19063,0.18548,0.18731,551948.29791996,0.18731
