"Index","KrakenXmrUsd.Open","KrakenXmrUsd.High","KrakenXmrUsd.Low","KrakenXmrUsd.Close","KrakenXmrUsd.Volume","KrakenXmrUsd.Adjusted"
2017-08-14T20:00:00.000Z,48.73,49.83,47.90,49.83,941.12849635,49.83
2017-08-15T00:00:00.000Z,49.82,50.54,49.46,49.46,933.73938146,49.46
2017-08-15T04:00:00.000Z,49.16,49.93,47.72,48.66,377.04097090,48.66
2017-08-15T08:00:00.000Z,48.65,49.09,47.13,47.50,701.05596432,47.50
2017-08-15T12:00:00.000Z,47.91,47.92,45.50,47.47,1481.09543875,47.47
2017-08-15T16:00:00.000Z,47.74,48.90,47.74,48.02,372.56897803,48.02
2017-08-15T20:00:00.000Z,48.00,49.26,47.25,48.21,648.49474278,48.21
2017-08-16T00:00:00.000Z,49.04,49.48,47.49,48.01,163.21374613,48.01
2017-08-16T04:00:00.000Z,48.50,49.05,47.50,48.50,206.82654512,48.50
2017-08-16T08:00:00.000Z,47.80,48.49,47.25,47.25,162.40653698,47.25
2017-08-16T12:00:00.000Z,47.42,48.50,47.24,48.43,843.06315709,48.43
2017-08-16T16:00:00.000Z,48.49,49.05,47.73,48.80,799.38188514,48.80
2017-08-16T20:00:00.000Z,49.05,49.18,48.18,48.53,247.22440807,48.53
2017-08-17T00:00:00.000Z,48.53,49.35,48.50,48.71,262.20710517,48.71
2017-08-17T04:00:00.000Z,48.50,48.80,48.50,48.50,40.06321103,48.50
2017-08-17T08:00:00.000Z,48.78,49.50,48.49,48.95,1494.17587653,48.95
2017-08-17T12:00:00.000Z,48.95,49.45,48.60,48.67,238.15208244,48.67
2017-08-17T16:00:00.000Z,48.67,48.67,47.53,47.80,1143.04700010,47.80
2017-08-17T20:00:00.000Z,47.79,48.48,47.54,48.00,523.71591490,48.00
2017-08-18T00:00:00.000Z,47.80,47.99,46.80,47.84,469.40350760,47.84
2017-08-18T04:00:00.000Z,47.33,48.17,46.83,47.99,282.43488010,47.99
2017-08-18T08:00:00.000Z,47.99,48.48,47.63,48.47,267.40645599,48.47
2017-08-18T12:00:00.000Z,48.47,48.48,47.63,47.63,974.09176644,47.63
2017-08-18T16:00:00.000Z,47.63,47.98,47.21,47.98,872.70016140,47.98
2017-08-18T20:00:00.000Z,47.98,48.00,46.84,46.84,812.29291907,46.84
2017-08-19T00:00:00.000Z,46.84,49.50,46.84,49.49,1189.56117988,49.49
2017-08-19T04:00:00.000Z,49.49,52.19,48.83,51.84,2207.84504574,51.84
2017-08-19T08:00:00.000Z,51.89,52.32,49.50,50.82,247.35737951,50.82
2017-08-19T12:00:00.000Z,50.08,52.32,49.65,50.00,294.48182869,50.00
2017-08-19T16:00:00.000Z,52.32,58.85,51.00,56.09,4016.28382032,56.09
2017-08-19T20:00:00.000Z,53.10,56.97,50.00,55.54,1204.38668029,55.54
2017-08-20T00:00:00.000Z,56.22,56.86,54.50,54.50,380.50415130,54.50
2017-08-20T04:00:00.000Z,54.50,54.50,52.52,53.99,214.97748448,53.99
2017-08-20T08:00:00.000Z,53.11,53.11,51.39,51.46,1635.06109795,51.46
2017-08-20T12:00:00.000Z,52.32,54.49,51.50,54.49,1052.38999591,54.49
2017-08-20T16:00:00.000Z,54.90,55.54,54.00,54.05,470.91977004,54.05
2017-08-20T20:00:00.000Z,55.19,55.47,54.07,55.29,460.02452913,55.29
2017-08-21T00:00:00.000Z,55.41,55.47,53.90,53.90,748.16690412,53.90
2017-08-21T04:00:00.000Z,53.60,59.00,51.11,59.00,1778.49264375,59.00
2017-08-21T08:00:00.000Z,59.00,94.94,59.00,78.34,15056.85600449,78.34
2017-08-21T12:00:00.000Z,78.35,88.00,77.50,82.00,8434.16674914,82.00
2017-08-21T16:00:00.000Z,81.99,82.99,69.20,69.90,6548.13904269,69.90
2017-08-21T20:00:00.000Z,69.90,78.78,68.20,77.40,7665.70320473,77.40
2017-08-22T00:00:00.000Z,77.29,83.23,71.20,78.99,4685.96355832,78.99
2017-08-22T04:00:00.000Z,78.99,82.00,73.20,80.36,2336.05245561,80.36
2017-08-22T08:00:00.000Z,80.36,94.00,80.10,90.14,11481.99200633,90.14
2017-08-22T12:00:00.000Z,90.15,92.77,85.12,92.55,3429.48422328,92.55
2017-08-22T16:00:00.000Z,92.23,92.60,85.12,88.10,2861.15346861,88.10
2017-08-22T20:00:00.000Z,88.10,92.20,82.30,92.10,4981.73507163,92.10
2017-08-23T00:00:00.000Z,92.10,92.10,85.50,88.00,3069.97120018,88.00
2017-08-23T04:00:00.000Z,86.70,99.80,86.70,98.49,4769.77960349,98.49
2017-08-23T08:00:00.000Z,97.43,100.00,95.31,96.66,3412.86973163,96.66
2017-08-23T12:00:00.000Z,96.66,96.66,90.00,92.00,2410.74465384,92.00
2017-08-23T16:00:00.000Z,92.99,94.60,89.29,90.45,1542.35703800,90.45
2017-08-23T20:00:00.000Z,90.45,92.00,84.30,92.00,3085.31362902,92.00
2017-08-24T00:00:00.000Z,91.99,96.00,88.50,92.50,1413.29033690,92.50
2017-08-24T04:00:00.000Z,92.50,93.39,87.40,88.37,1021.00172916,88.37
2017-08-24T08:00:00.000Z,88.37,90.99,85.51,86.89,2183.99812357,86.89
2017-08-24T12:00:00.000Z,86.88,86.97,81.00,83.51,4487.32226318,83.51
2017-08-24T16:00:00.000Z,83.51,87.99,82.50,86.55,3992.41648475,86.55
2017-08-24T20:00:00.000Z,87.00,90.00,85.00,87.98,2769.58526270,87.98
2017-08-25T00:00:00.000Z,85.65,88.00,82.51,88.00,1372.10242969,88.00
2017-08-25T04:00:00.000Z,88.00,98.34,88.00,98.34,4382.67233599,98.34
2017-08-25T08:00:00.000Z,97.50,99.95,95.00,97.97,2290.15534891,97.97
2017-08-25T12:00:00.000Z,97.98,99.39,95.99,97.88,1876.33743148,97.88
2017-08-25T16:00:00.000Z,97.88,99.89,96.89,97.99,2182.75887752,97.99
2017-08-25T20:00:00.000Z,97.99,110.00,97.50,109.99,5268.02397132,109.99
2017-08-26T00:00:00.000Z,109.99,129.00,107.00,126.99,7338.69775816,126.99
2017-08-26T04:00:00.000Z,125.11,135.00,120.10,128.20,9575.17395549,128.20
2017-08-26T08:00:00.000Z,128.20,144.00,124.99,140.00,6997.51217544,140.00
2017-08-26T12:00:00.000Z,140.00,149.80,129.99,137.00,10570.18732047,137.00
2017-08-26T16:00:00.000Z,134.30,138.94,128.81,138.03,4016.26602098,138.03
2017-08-26T20:00:00.000Z,138.03,143.99,131.24,136.00,4457.79828044,136.00
2017-08-27T00:00:00.000Z,137.49,138.98,125.33,126.50,3671.84615107,126.50
2017-08-27T04:00:00.000Z,127.69,137.82,126.50,132.49,3778.36450403,132.49
2017-08-27T08:00:00.000Z,132.49,138.00,128.00,133.19,2460.44671206,133.19
2017-08-27T12:00:00.000Z,133.13,133.59,125.33,133.59,2637.54489191,133.59
2017-08-27T16:00:00.000Z,132.60,133.57,128.22,130.04,1639.76417770,130.04
2017-08-27T20:00:00.000Z,131.09,132.51,128.50,130.89,1117.35038273,130.89
2017-08-28T00:00:00.000Z,130.89,146.00,128.51,140.00,6521.60468850,140.00
2017-08-28T04:00:00.000Z,139.99,141.86,130.00,140.20,5913.55154581,140.20
2017-08-28T08:00:00.000Z,140.00,159.90,132.10,153.50,12879.56914994,153.50
2017-08-28T12:00:00.000Z,153.50,155.00,138.00,140.49,5608.13250319,140.49
2017-08-28T16:00:00.000Z,141.00,147.00,135.73,141.60,6138.03244755,141.60
2017-08-28T20:00:00.000Z,143.00,149.00,140.00,147.89,1981.17233165,147.89
2017-08-29T00:00:00.000Z,147.89,147.89,141.10,146.70,1592.52608962,146.70
2017-08-29T04:00:00.000Z,145.00,147.49,140.00,141.93,2629.93279845,141.93
2017-08-29T08:00:00.000Z,141.93,141.93,132.00,133.09,5565.57179288,133.09
2017-08-29T12:00:00.000Z,133.09,138.90,128.00,131.71,3941.19841698,131.71
2017-08-29T16:00:00.000Z,130.95,135.39,129.99,134.19,1377.96921926,134.19
2017-08-29T20:00:00.000Z,134.19,142.00,130.00,134.50,1868.78037638,134.50
2017-08-30T00:00:00.000Z,132.70,136.97,132.70,133.00,799.64511879,133.00
2017-08-30T04:00:00.000Z,132.99,133.00,121.00,129.47,5264.54264776,129.47
2017-08-30T08:00:00.000Z,129.15,132.00,120.00,128.38,2251.73493786,128.38
2017-08-30T12:00:00.000Z,128.38,133.60,125.10,132.07,1831.38911710,132.07
2017-08-30T16:00:00.000Z,132.08,133.33,128.70,128.98,1493.84652398,128.98
2017-08-30T20:00:00.000Z,129.99,138.00,128.84,133.50,2577.01557810,133.50
2017-08-31T00:00:00.000Z,133.98,137.00,132.05,132.75,2685.05777437,132.75
2017-08-31T04:00:00.000Z,133.00,144.00,133.00,140.00,6109.27515408,140.00
2017-08-31T08:00:00.000Z,140.67,144.30,138.12,140.12,1458.28037976,140.12
2017-08-31T12:00:00.000Z,140.12,142.98,139.52,142.50,1523.83506564,142.50
2017-08-31T16:00:00.000Z,141.21,142.48,140.01,141.99,1816.38266590,141.99
2017-08-31T20:00:00.000Z,141.99,143.99,140.01,142.09,2074.33248390,142.09
2017-09-01T00:00:00.000Z,142.09,142.81,138.00,138.00,1070.36358629,138.00
2017-09-01T04:00:00.000Z,138.01,141.92,137.00,138.79,2211.75754730,138.79
2017-09-01T08:00:00.000Z,138.29,141.99,137.00,140.12,1821.31215600,140.12
2017-09-01T12:00:00.000Z,141.00,152.00,137.10,147.99,9708.39506150,147.99
2017-09-01T16:00:00.000Z,147.80,151.49,145.01,147.84,3263.17304936,147.84
2017-09-01T20:00:00.000Z,147.84,150.87,141.50,141.90,3569.14938087,141.90
2017-09-02T00:00:00.000Z,142.80,145.00,136.00,138.91,3682.72297684,138.91
2017-09-02T04:00:00.000Z,138.91,139.75,128.80,133.99,5977.47392195,133.99
2017-09-02T08:00:00.000Z,133.99,134.00,128.11,132.68,2990.12897305,132.68
2017-09-02T12:00:00.000Z,132.15,133.90,125.10,128.97,1689.93060630,128.97
2017-09-02T16:00:00.000Z,128.97,133.76,126.30,129.39,914.30147255,129.39
2017-09-02T20:00:00.000Z,129.39,129.39,125.10,126.00,1721.19270606,126.00
2017-09-03T00:00:00.000Z,126.00,128.48,126.00,127.70,2004.52318510,127.70
2017-09-03T04:00:00.000Z,127.90,131.99,127.14,129.00,1731.55240430,129.00
2017-09-03T08:00:00.000Z,130.49,132.97,125.15,126.47,733.97146696,126.47
2017-09-03T12:00:00.000Z,125.15,126.27,117.17,119.00,4386.79329109,119.00
2017-09-03T16:00:00.000Z,119.00,123.33,118.74,122.48,3469.55810693,122.48
2017-09-03T20:00:00.000Z,122.00,129.20,121.99,128.99,615.61953663,128.99
