Index,BTCE.Open,BTCE.High,BTCE.Low,BTCE.Close,BTCE.Volume,BTCE.Adjusted
2016-07-14T15:00:00.000+03:00,659.12,662.03,659.12,662.03,6.311,662.03
2016-07-14T16:00:00.000+03:00,662.03,664.0,660.16,660.22,19.311263,660.22
2016-07-14T17:00:00.000+03:00,661.768,663.98,660.02,663.22,69.507981,663.22
2016-07-14T18:00:00.000+03:00,663.21,663.21,656.505,662.978,125.462655,662.978
2016-07-14T19:00:00.000+03:00,661.15,664.0,661.0,664.0,146.995966,664.0
2016-07-14T20:00:00.000+03:00,662.0,664.73,661.8,664.73,68.395458,664.73
2016-07-14T21:00:00.000+03:00,664.44,665.916,662.0,662.25,155.950121,662.25
2016-07-14T22:00:00.000+03:00,662.0,662.0,658.586,661.699,96.131603,661.699
2016-07-14T23:00:00.000+03:00,663.259,663.268,660.9,662.0,36.678102,662.0
2016-07-15T00:00:00.000+03:00,661.939,663.44,661.0,663.44,49.432987,663.44
2016-07-15T01:00:00.000+03:00,662.509,664.012,660.44,661.0,47.424216,661.0
2016-07-15T02:00:00.000+03:00,661.41,662.99,661.0,662.99,27.372385,662.99
2016-07-15T03:00:00.000+03:00,661.25,662.98,661.0,662.98,32.846,662.98
2016-07-15T04:00:00.000+03:00,662.99,665.0,660.01,661.319,34.88724,661.319
2016-07-15T05:00:00.000+03:00,660.202,662.0,660.0,660.71,34.01417,660.71
2016-07-15T06:00:00.000+03:00,661.87,668.999,660.0,666.51,163.479745,666.51
2016-07-15T07:00:00.000+03:00,666.52,668.176,666.51,666.999,27.332968,666.999
2016-07-15T08:00:00.000+03:00,666.999,667.0,665.0,665.0,9.742783,665.0
2016-07-15T09:00:00.000+03:00,665.01,665.729,663.01,664.5,7.704793,664.5
2016-07-15T10:00:00.000+03:00,663.82,668.249,663.55,663.81,84.260578,663.81
2016-07-15T11:00:00.000+03:00,666.81,668.5,665.25,667.86,51.942876,667.86
2016-07-15T12:00:00.000+03:00,665.5,667.847,663.812,666.194,30.202784,666.194
2016-07-15T13:00:00.000+03:00,666.439,667.369,665.48,666.382,34.815919,666.382
2016-07-15T14:00:00.000+03:00,667.338,667.339,665.38,665.38,13.272163,665.38
2016-07-15T15:00:00.000+03:00,665.39,666.41,664.32,664.48,15.7502,664.48
2016-07-15T16:00:00.000+03:00,664.1,665.799,662.1,662.953,37.840228,662.953
2016-07-15T17:00:00.000+03:00,663.95,664.0,662.8,662.804,17.39528,662.804
2016-07-15T18:00:00.000+03:00,662.89,665.05,662.805,665.05,8.535303,665.05
2016-07-15T19:00:00.000+03:00,665.05,667.0,662.729,663.563,89.682132,663.563
2016-07-15T20:00:00.000+03:00,666.419,666.99,663.99,664.001,27.410968,664.001
